wavelength_nm_reported,counts
973.527,3287.95913
973.752,3334.20637
973.978,3388.49574
974.203,3356.32438
974.429,3199.48425
974.654,3080.84359
974.879,3092.90894
975.104,3124.07756
975.33,3148.2079
975.555,3365.37261
975.78,3701.14392
976.005,4042.90959
976.23,4142.41654
976.455,3954.45624
976.68,3709.1859
976.905,3593.58041
977.13,3513.15666
977.354,3648.87053
977.579,3745.37455
977.804,3708.18065
978.029,3513.15666
978.253,3307.06133
978.478,3488.02381
978.702,3639.82312
978.927,3646.86
979.151,3562.41645
979.376,3655.90738
979.6,3938.37354
979.824,4248.95573
980.049,4294.1835
980.273,4264.03173
980.497,4096.18139
980.721,4068.03791
980.945,4128.34504
981.169,4220.81366
981.393,4037.8839
981.617,3951.44074
981.841,4109.24791
982.065,4361.52137
982.289,4534.38188
982.513,4594.67972
982.736,4639.90231
982.96,4576.5905
983.184,4454.98788
983.407,4326.34506
983.631,4219.80858
983.855,4246.94559
984.078,4325.34002
984.301,4530.36198
984.525,4657.99115
984.748,4823.80047
984.971,4982.56682
985.195,4969.50409
985.418,5020.74987
985.641,4850.93203
985.864,4752.45334
986.087,4681.10452
986.31,4696.17835
986.533,4736.37488
986.756,4824.80535
986.979,4952.42196
987.202,5061.94682
987.425,5105.15277
987.648,5136.30085
987.871,5158.40574
988.093,5024.76911
988.316,5035.82199
988.538,4954.43163
988.761,4807.72239
988.984,4758.48274
989.206,4870.02446
989.428,5039.84121
989.651,5078.02353
989.873,5092.09057
990.095,5081.0379
990.318,5075.00915
990.54,5097.1145
990.762,5034.81719
990.984,5052.90364
991.206,5153.38192
991.428,4976.53787
991.65,4860.98069
991.872,4843.89794
992.094,4890.12162
992.316,4989.60058
992.538,5051.89884
992.76,5112.18623
992.981,5137.30562
993.203,5143.33424
993.425,5168.45337
993.646,5217.68623
993.868,5190.55802
994.089,5149.36285
994.311,5093.09536
994.532,5160.41527
994.754,5150.36762
994.975,5177.4962
995.196,5185.53425
995.417,5138.31039
995.639,5080.03311
995.86,5057.92763
996.081,5047.87964
996.302,5080.03311
996.523,5026.77873
996.744,4973.5234
996.965,5007.6873
997.186,4966.4896
997.407,4939.35909
997.628,4970.50891
997.848,4871.02932
998.069,4851.93689
998.29,4819.78096
998.51,4804.70774
998.731,4807.72239
998.951,4809.73216
999.172,4747.42883
999.392,4799.68332
999.613,4876.05362
999.833,4872.03418
1000.054,4758.48274
1000.274,4681.10452
1000.494,4677.08481
1000.714,4556.49123
1000.934,4544.4316
1001.154,4519.30723
1001.375,4510.2624
1001.595,4617.79357
1001.815,4646.93687
1002.034,4737.37979
1002.254,4663.01581
1002.474,4652.96649
1002.694,4539.40675
1002.914,4504.2325
1003.133,4506.24247
1003.353,4476.09282
1003.573,4445.94286
1003.792,4412.77756
1004.012,4372.5767
1004.231,4476.09282
1004.451,4364.53647
1004.67,4433.88279
1004.89,4461.01787
1005.109,4448.95787
1005.328,4460.01288
1005.547,4501.21755
1005.767,4494.18265
1005.986,4430.86777
1006.205,4471.06784
1006.424,4432.87778
1006.643,4385.64204
1006.862,4419.81265
1007.081,4383.63199
1007.3,4358.50628
1007.518,4395.69226
1007.737,4354.48614
1007.956,4365.5415
1008.175,4377.60184
1008.393,4336.39548
1008.612,4370.56665
1008.831,4363.53144
1009.049,4414.78759
1009.268,4442.92785
1009.486,4449.96287
1009.704,4509.25742
1009.923,4580.61033
1010.141,4586.64008
1010.359,4548.45148
1010.578,4609.75399
1010.796,4628.84796
1011.014,4774.56109
1011.232,4865.00014
1011.45,4892.13133
1011.668,5093.09536
1011.886,5249.83786
1012.104,5512.06155
1012.322,5813.43924
1012.539,6419.11458
1012.757,8730.16812
1012.975,12169.29336
1013.193,13590.35836
1013.41,11785.35604
1013.628,8795.39709
1013.846,7131.09911
1014.063,6053.51464
1014.281,5478.90812
1014.498,5120.22446
1014.715,4964.47994
1014.933,4809.73216
1015.15,4665.02567
1015.367,4606.73914
1015.584,4511.26739
1015.802,4456.99788
1016.019,4347.4509
1016.236,4312.27442
1016.453,4298.20371
1016.67,4285.138
1016.887,4205.73745
1017.104,4209.75778
1017.321,4130.35526
1017.537,4131.36037
1017.754,4095.17627
1017.971,4073.06355
1018.187,4053.96607
1018.404,4005.71929
1018.621,3971.54402
1018.837,3988.6317
1019.054,3987.62654
1019.27,3984.61108
1019.487,4034.86848
1019.703,4058.99174
1019.919,4017.78105
1020.136,3990.64201
1020.352,4003.70899
1020.568,3889.11974
1020.784,3954.45624
1021.0,3898.16642
1021.216,3921.28558
1021.432,3864.99514
1021.648,3898.16642
1021.864,3876.05227
1022.08,3857.95877
1022.296,3819.76101
1022.512,3800.66196
1022.728,3727.28028
1022.943,3748.39026
1023.159,3756.43211
1023.375,3801.66717
1023.59,3764.47395
1023.806,3787.59412
1024.021,3753.41642
1024.237,3761.45826
1024.452,3720.24359
1024.668,3733.31172
1024.883,3742.35885
1025.098,3681.03887
1025.313,3685.05989
1025.529,3688.07565
1025.744,3648.87053
1025.959,3600.61739
1026.174,3491.03976
1026.389,3452.83748
1026.604,3394.52784
1026.819,3340.23857
