raman_shift_reported_cm-1,rep1,rep2,rep3
2187.685,231.87621,250.03932,268.57968
2190.25,232.07749,242.39173,264.95717
2192.813,234.29149,247.22203,268.17745
2195.375,229.25994,244.40426,261.33464
2197.935,232.88272,244.60574,266.16493
2200.493,228.25403,242.39211,265.56135
2203.049,228.85772,242.39204,260.52996
2205.604,227.44874,236.15297,263.14601
2208.157,229.2601,236.7568,258.11478
2210.708,233.88902,240.98321,265.76247
2213.257,231.87652,244.2033,260.7312
2215.805,219.59975,242.19049,256.50459
2218.351,227.24753,236.75677,261.13353
2220.895,222.61883,237.36069,264.55499
2223.438,222.4174,233.33543,256.5047
2225.979,222.82013,230.92061,252.07738
